link,likes,status
https://www.instagram.com/p/DckK6hFoncD/,528724,done
https://www.instagram.com/p/DcgrG1VpFcC/,115713,
https://www.instagram.com/p/DckK5BNIzpm/,73298,done
https://www.instagram.com/p/DcgrIIlpcPo/,44622,
https://www.instagram.com/p/DcgrHMLpnyR/,41909,
https://www.instagram.com/p/Dcfdic7IReL/,35238,
https://www.instagram.com/p/Dcr5Nn-si8i/,17136,
https://www.instagram.com/p/DcpROqqMQKB/,16914,
https://www.instagram.com/p/Dcr5YDUsuVW/,13898,
https://www.instagram.com/p/Dcr6M7qszTd/,11905,
https://www.instagram.com/p/DcfdlFlIEDj/,11453,
https://www.instagram.com/p/DcpQ9ctMFjs/,11380,
https://www.instagram.com/p/DcrQxhUownt/,9711,
https://www.instagram.com/p/DclZLEgJYhY/,8122,done
https://www.instagram.com/p/DctiduTpQ3q/,5412,
https://www.instagram.com/p/DcugRfsM_IW/,4528,
https://www.instagram.com/p/DcuhvDbsJIL/,4342,
https://www.instagram.com/p/DcrIhFFTgOu/,4335,
https://www.instagram.com/p/DcvUHvzJ8Td/,4169,
https://www.instagram.com/p/DclZNxMpIdF/,3884,
https://www.instagram.com/p/DcqynENpX_G/,3780,
https://www.instagram.com/p/DcqyprlJhjj/,3594,
https://www.instagram.com/p/DctigZ6pocs/,3553,
https://www.instagram.com/p/DctieSOpGOQ/,3497,
https://www.instagram.com/p/DctiY3zJ6GD/,3328,
https://www.instagram.com/p/DckK8ALouwu/,3110,done
https://www.instagram.com/p/Dcr6CDOMuha/,3106,
https://www.instagram.com/p/DcqykaMpiIN/,2968,
https://www.instagram.com/p/DcrQwBbo-ys/,2787,
https://www.instagram.com/p/DcrQ0T9oRME/,2688,
https://www.instagram.com/p/DcrLasJgMev/,2603,
https://www.instagram.com/p/DcwgYJATRia/,2600,
https://www.instagram.com/p/Dctibr1plg_/,2462,
https://www.instagram.com/p/DcrIk5qziEY/,2401,
https://www.instagram.com/p/DcojJnfS7cf/,2237,
https://www.instagram.com/p/DclZFaYJeXO/,2203,
https://www.instagram.com/p/DcwM5u7SrNa/,2105,
https://www.instagram.com/p/DcodJn7KcMF/,2089,
https://www.instagram.com/p/DclZGXsJsk5/,2063,
https://www.instagram.com/p/DcqynzbpXHO/,2060,
https://www.instagram.com/p/DcrLbsOgUvz/,1966,
https://www.instagram.com/p/DcuiSSMMtbC/,1882,
https://www.instagram.com/p/DcqytGwJp9c/,1818,
https://www.instagram.com/p/DcrQ1jsoLJO/,1780,
https://www.instagram.com/p/Dcuh9adMQ1e/,1745,
https://www.instagram.com/p/DcrIjXfTjJ6/,1733,
https://www.instagram.com/p/DctiX-4JeSd/,1684,
https://www.instagram.com/p/DcrQy-uoe0J/,1613,
https://www.instagram.com/p/Dcu7ymGBpsa/,1589,
https://www.instagram.com/p/DcnMSlyoBuE/,1576,
https://www.instagram.com/p/DclZJBEpUXp/,1560,
https://www.instagram.com/p/DctiatRp1C5/,1541,
https://www.instagram.com/p/DcpQ6gTM6O7/,1438,
https://www.instagram.com/p/DcpQwX1MNSx/,1431,
https://www.instagram.com/p/DcwIRpoJ2ab/,1315,
https://www.instagram.com/p/DctOi8wpNB5/,1290,
https://www.instagram.com/p/Dcu7xcah_sa/,1209,
https://www.instagram.com/p/Dcu7wVahXAG/,1199,
https://www.instagram.com/p/DcrLd2_AL_e/,1140,
https://www.instagram.com/p/Dcu3BvihD-B/,1139,
https://www.instagram.com/p/DcnZzvboEU6/,1109,
https://www.instagram.com/p/DcwIVfPJ_kR/,1022,
https://www.instagram.com/p/Dcqyt4kJssU/,1016,
https://www.instagram.com/p/DclZMldJROT/,917,
https://www.instagram.com/p/DcmCAFhhYBH/,846,done
https://www.instagram.com/p/DcmB9jzhkoz/,523,done
https://www.instagram.com/p/DcmB-j5hnec/,193,
https://www.instagram.com/p/DcjcJKGT90N/,149,done
https://www.instagram.com/p/DcjcEZAv6LC/,81,
https://www.instagram.com/p/DciKPnCiYGm/,70,done
https://www.instagram.com/p/DcjcMSqvI3s/,53,
https://www.instagram.com/p/DciKRr5CIik/,29,done
https://www.instagram.com/p/DcjAU6biF-1/,13,done
https://www.instagram.com/p/DcjeCquJuXQ/,1,done
https://www.instagram.com/p/DcjeGefpayb/,0,
https://www.instagram.com/p/DcjeDdWJ3b7/,0,
https://www.instagram.com/p/DclL13tOTrh/,-1,done
https://www.instagram.com/p/DclNPLkO5Pi/,-1,
https://www.instagram.com/p/DclJp47uiU0/,-1,
https://www.instagram.com/p/DclTP7jO-d_/,-1,done
https://www.instagram.com/p/DclUW6FuCjC/,-1,
https://www.instagram.com/p/DclSeT6uABr/,-1,done
https://www.instagram.com/p/DcmMlpDudBK/,-1,done
https://www.instagram.com/p/DcmNf3KOOe6/,-1,
https://www.instagram.com/p/DcmNazJu2zF/,-1,
https://www.instagram.com/p/Dcnap-MMdfU/,-1,done
https://www.instagram.com/p/DcniqvCMuCb/,-1,
https://www.instagram.com/p/Dcngab_sGXU/,-1,done
https://www.instagram.com/p/DcoKgHnq_VL/,-1,done
https://www.instagram.com/p/DcoKenVqGfn/,-1,
https://www.instagram.com/p/DcoKXu4qRhs/,-1,
